V	23	47	1960.0	EC
V	23	48	1380000.0	EC
V	23	49	28500000.0	EC
V	23	50	6.63e+24	EC
V	23	51	inf	None
V	23	52	225.0	B-
V	23	53	92.6	B-
V	23	54	49.8	B-
V	23	55	6.54	B-
V	23	56	0.216	B-
V	23	57	0.32	B-
V	23	58	0.191	B-
V	23	59	0.097	B-
V	23	60	0.068	B-
V	23	61	0.0526	B-
V	23	62	0.0335	B-
V	23	63	0.0192	B-
V	23	64	0.019	B-
V	23	65	3.6e-07	B-
V	23	66	3.6e-07	B-
Cr	24	42	0.0133	EC
Cr	24	43	0.0206	EC
Cr	24	44	0.0428	EC
Cr	24	45	0.0609	EC
Cr	24	46	0.26	EC
Cr	24	47	0.5	EC
Cr	24	48	77600.0	EC
Cr	24	49	2540.0	EC
Cr	24	50	4.1e+25	2EC
Cr	24	51	2390000.0	EC
Cr	24	52	inf	None
Cr	24	53	inf	None
Cr	24	54	inf	None
Cr	24	55	210.0	B-
Cr	24	56	356.0	B-
Cr	24	57	21.1	B-
Cr	24	58	7.0	B-
Cr	24	59	1.05	B-
Cr	24	60	0.49	B-
Cr	24	61	0.243	B-
Cr	24	62	0.206	B-
Cr	24	63	0.129	B-
Cr	24	64	0.042	B-
Cr	24	65	0.028	B-
Cr	24	66	0.023	B-
Cr	24	67	0.0	B-
Cr	24	68	3.6e-07	B-
Mn	25	44	1.05e-07	EC
Mn	25	45	0.0	EC
Mn	25	46	0.0362	EC
Mn	25	47	0.088	EC
Mn	25	48	0.158	EC
Mn	25	49	0.382	EC
Mn	25	50	0.283	EC
Mn	25	51	2770.0	EC
Mn	25	52	483000.0	EC
Mn	25	53	118000000000000.0	EC
Mn	25	54	27000000.0	EC
Mn	25	55	inf	None
Mn	25	56	9280.0	B-
Mn	25	57	85.4	B-
Mn	25	58	3.0	B-
Mn	25	59	4.59	B-
Mn	25	60	0.28	B-
Mn	25	61	0.67	B-
Mn	25	62	0.671	B-
Mn	25	63	0.275	B-
Mn	25	64	0.09	B-
Mn	25	65	0.084	B-
Mn	25	66	0.065	B-
Mn	25	67	0.051	B-
Mn	25	68	0.028	B-
Mn	25	69	0.018	B-
Mn	25	70	3.6e-07	B-
Mn	25	71	6.37e-07	B-
Fe	26	45	0.00189	2P
Fe	26	46	0.013	EC
Fe	26	47	0.0219	EC
Fe	26	48	0.0453	EC
Fe	26	49	0.0647	EC
Fe	26	50	0.155	EC
Fe	26	51	0.305	EC
Fe	26	52	29800.0	EC
Fe	26	53	511.0	EC
Fe	26	54	inf	None
Fe	26	55	86600000.0	EC
Fe	26	56	inf	None
Fe	26	57	inf	None
Fe	26	58	inf	None
Fe	26	59	3840000.0	B-
Fe	26	60	82700000000000.0	B-
Fe	26	61	359.0	B-
Fe	26	62	68.0	B-
Fe	26	63	6.1	B-
Fe	26	64	2.0	B-
Fe	26	65	0.81	B-
Fe	26	66	0.44	B-
Fe	26	67	0.404	B-
Fe	26	68	0.18	B-
Fe	26	69	0.11	B-
Fe	26	70	0.071	B-
Fe	26	71	0.028	B-
Fe	26	72	1.5e-07	B-
Fe	26	73	6.33e-07	B-
Fe	26	74	6.38e-07	B-
Co	27	47	0.0	EC
Co	27	48	0.0	EC
Co	27	49	0.0	EC
Co	27	50	0.0388	EC
Co	27	51	2e-07	EC
Co	27	52	0.115	EC
Co	27	53	0.24	EC
Co	27	54	0.193	EC
Co	27	55	63100.0	EC
Co	27	56	6670000.0	EC
Co	27	57	23500000.0	EC
Co	27	58	6120000.0	EC
Co	27	59	inf	None
Co	27	60	166000000.0	B-
Co	27	61	5940.0	B-
Co	27	62	90.0	B-
Co	27	63	27.4	B-
Co	27	64	0.3	B-
Co	27	65	1.16	B-
Co	27	66	0.2	B-
Co	27	67	0.425	B-
Co	27	68	0.199	B-
Co	27	69	0.229	B-
Co	27	70	0.108	B-
Co	27	71	0.08	B-
Co	27	72	0.0599	B-
Co	27	73	0.041	B-
Co	27	74	0.025	B-
Co	27	75	1.5e-07	B-
Co	27	76	6.34e-07	B-
Ni	28	48	0.0021	2P
Ni	28	49	0.0075	EC
Ni	28	50	0.0185	EC
